Time,Feed Flow,Feed Composition,Vapor Flow Rate,Reflux Ratio,Overhead Flow Rate,Overhead MeOH Composition,Bottom Flow Rate,Bottom MeOH Composition
0,0.025,0.5,0.033,1.75,0.012516594,0.850818108,0.01181615,0.148973225
50,0.025,0.5,0.033,1.75,0.01274315,0.851284238,0.012207612,0.150771097
100,0.025,0.5,0.033,1.75,0.012381122,0.849905227,0.012168158,0.148152208
150,0.025,0.5,0.033,1.75,0.012620245,0.853033846,0.01276576,0.149025489
200,0.025,0.5,0.033,1.75,0.012498703,0.854668312,0.012239723,0.15044922
250,0.025,0.5,0.033,1.75,0.012433521,0.853338049,0.012805532,0.154111537
300,0.025,0.5,0.033,1.75,0.012374162,0.850372387,0.012481486,0.154175789
350,0.025,0.5,0.033,1.75,0.012492188,0.850979403,0.012356005,0.153893626
400,0.025,0.5,0.033,1.75,0.012541209,0.850371932,0.012182311,0.149566342
450,0.025,0.5,0.033,1.75,0.012504943,0.850865629,0.012051752,0.150374425
500,0.025,0.5,0.033,1.75,0.012533847,0.846992028,0.012416016,0.15528359
550,0.025,0.5,0.033,1.75,0.012532233,0.857550417,0.012379396,0.150833315
600,0.025,0.5,0.033,1.75,0.012461339,0.851980661,0.012052568,0.15098091
650,0.025,0.5,0.033,1.75,0.01261667,0.849048972,0.012201509,0.149746659
700,0.025,0.5,0.033,1.75,0.012419115,0.855074076,0.012858521,0.152221479
750,0.025,0.5,0.033,1.75,0.012239919,0.855224967,0.012368157,0.150764726
800,0.025,0.5,0.033,1.75,0.012304215,0.851904076,0.012362843,0.1527019
850,0.025,0.5,0.033,1.75,0.012679054,0.851092174,0.012803387,0.150063218
900,0.025,0.5,0.033,1.75,0.012428856,0.850492838,0.01313969,0.150588566
950,0.025,0.5,0.033,1.75,0.012369685,0.850187227,0.012667488,0.14795324
1000,0.025,0.5,0.033,1.75,0.012383227,0.850977784,0.012365997,0.151912807
1050,0.025,0.5,0.033,1.75,0.012393522,0.851801928,0.0126237,0.153878431
1100,0.025,0.5,0.033,1.75,0.012422918,0.851713522,0.012664288,0.148715948
1150,0.025,0.5,0.033,1.75,0.012421959,0.850981799,0.012441843,0.153213142
1200,0.025,0.5,0.033,1.75,0.012452946,0.854109849,0.013048871,0.147722829
1250,0.025,0.5,0.033,1.75,0.012643197,0.850081909,0.013310955,0.150325904
1300,0.025,0.5,0.033,1.75,0.012485018,0.851798121,0.012481623,0.153453044
1350,0.025,0.5,0.033,1.75,0.012619545,0.851348598,0.012484941,0.151695409
1400,0.025,0.5,0.033,1.75,0.012562729,0.85135195,0.012158791,0.150103455
1450,0.025,0.5,0.033,1.75,0.012514278,0.850263798,0.012669747,0.150182164
1500,0.025,0.5,0.033,1.75,0.012411377,0.85647375,0.012208175,0.147718618
1550,0.025,0.5,0.033,1.75,0.012425509,0.849702393,0.012559295,0.147531153
1600,0.025,0.5,0.033,1.75,0.012450576,0.854923779,0.012477816,0.150662321
1650,0.025,0.5,0.033,1.75,0.012336221,0.852151693,0.012615821,0.150927964
1700,0.025,0.5,0.033,1.75,0.012716311,0.851186998,0.012321973,0.149362769
1750,0.025,0.5,0.033,1.75,0.012587101,0.852010258,0.012807226,0.151267003
1800,0.025,0.5,0.033,1.75,0.012401169,0.847415469,0.013007232,0.151268356
1850,0.025,0.5,0.033,1.75,0.012367736,0.848098176,0.012833761,0.14967216
1900,0.025,0.5,0.033,1.75,0.012459894,0.853517634,0.012707409,0.149159167
1950,0.025,0.5,0.033,1.75,0.012560988,0.853576181,0.012269228,0.150863002
2000,0.025,0.5,0.033,1.75,0.012446716,0.852209681,0.012424759,0.148787035
2050,0.025,0.5,0.033,1.75,0.012333126,0.852022686,0.012973128,0.15124775
2100,0.025,0.5,0.033,1.75,0.01237495,0.850306912,0.01288408,0.151751635
2150,0.025,0.5,0.033,1.75,0.012473676,0.854444933,0.013184903,0.151034715
2200,0.025,0.5,0.033,1.75,0.012606551,0.85107385,0.012697706,0.153312147
2250,0.025,0.5,0.033,1.75,0.012471286,0.844102127,0.013100854,0.152183276
2300,0.025,0.5,0.033,1.75,0.012579727,0.848917941,0.012836064,0.14987027
2350,0.025,0.5,0.033,1.75,0.012418501,0.850570066,0.012735365,0.151986519
2400,0.025,0.5,0.033,1.75,0.012473855,0.855041835,0.012543816,0.152833142
2450,0.025,0.5,0.033,1.75,0.012492348,0.852761701,0.012088804,0.151776583
2500,0.025,0.5,0.033,1.75,0.012293886,0.853237363,0.012474787,0.150214434
2550,0.025,0.5,0.033,1.75,0.012223366,0.848188921,0.012942067,0.149484472
2600,0.025,0.5,0.033,1.75,0.012521409,0.850279861,0.012770199,0.150163014
2650,0.025,0.5,0.033,1.75,0.012459705,0.845559747,0.012124064,0.150315174
2700,0.025,0.5,0.033,1.75,0.012607022,0.848874741,0.01251602,0.152247367
2750,0.025,0.5,0.033,1.75,0.012469625,0.851996924,0.012659931,0.150731853
2800,0.025,0.5,0.033,1.75,0.012432533,0.847237515,0.012259743,0.148332154
